city,station,year,pollutant,station_val,city_avg
Delhi,"CRRI Mathura Road, Delhi - IMD",2017,PM2.5,173.0,134
Delhi,"CRRI Mathura Road, Delhi - IMD",2018,PM2.5,125.0,116
Delhi,"CRRI Mathura Road, Delhi - IMD",2019,PM2.5,104.0,109
Delhi,"CRRI Mathura Road, Delhi - IMD",2020,PM2.5,93.0,97
Delhi,"CRRI Mathura Road, Delhi - IMD",2021,PM2.5,104.0,107
Delhi,"CRRI Mathura Road, Delhi - IMD",2022,PM2.5,87.0,99
Delhi,"CRRI Mathura Road, Delhi - IMD",2023,PM2.5,84.0,101
Delhi,"CRRI Mathura Road, Delhi - IMD",2024,PM2.5,104.0,105
Delhi,"CRRI Mathura Road, Delhi - IMD",2025,PM2.5,90.0,102
Delhi,"CRRI Mathura Road, Delhi - IMD",2026,PM2.5,86.0,100
Delhi,"Cantonment Area, Delhi - DPCC",2015,PM2.5,,135
Delhi,"Cantonment Area, Delhi - DPCC",2016,PM2.5,,166
Delhi,"Cantonment Area, Delhi - DPCC",2017,PM2.5,,134
Delhi,"Cantonment Area, Delhi - DPCC",2018,PM2.5,,116
Delhi,"Cantonment Area, Delhi - DPCC",2019,PM2.5,,109
Delhi,"Cantonment Area, Delhi - DPCC",2020,PM2.5,,97
Delhi,"Cantonment Area, Delhi - DPCC",2021,PM2.5,,107
Delhi,"Cantonment Area, Delhi - DPCC",2022,PM2.5,,99
Delhi,"Cantonment Area, Delhi - DPCC",2023,PM2.5,,101
Delhi,"Cantonment Area, Delhi - DPCC",2024,PM2.5,,105
Delhi,"Cantonment Area, Delhi - DPCC",2025,PM2.5,,102
Delhi,"Cantonment Area, Delhi - DPCC",2026,PM2.5,24.0,100
Delhi,"Chandni Chowk, Delhi - IITM",2015,PM2.5,,135
Delhi,"Chandni Chowk, Delhi - IITM",2016,PM2.5,,166
Delhi,"Chandni Chowk, Delhi - IITM",2017,PM2.5,,134
Delhi,"Chandni Chowk, Delhi - IITM",2018,PM2.5,,116
Delhi,"Chandni Chowk, Delhi - IITM",2019,PM2.5,,109
Delhi,"Chandni Chowk, Delhi - IITM",2020,PM2.5,155.0,97
Delhi,"Chandni Chowk, Delhi - IITM",2021,PM2.5,84.0,107
Delhi,"Chandni Chowk, Delhi - IITM",2022,PM2.5,89.0,99
Delhi,"Chandni Chowk, Delhi - IITM",2023,PM2.5,56.0,101
Delhi,"Chandni Chowk, Delhi - IITM",2024,PM2.5,101.0,105
Delhi,"Chandni Chowk, Delhi - IITM",2025,PM2.5,98.0,102
Delhi,"Chandni Chowk, Delhi - IITM",2026,PM2.5,113.0,100
Delhi,"Commonwealth Sports Complex, Delhi - DPCC",2015,PM2.5,,135
Delhi,"Commonwealth Sports Complex, Delhi - DPCC",2016,PM2.5,,166
Delhi,"Commonwealth Sports Complex, Delhi - DPCC",2017,PM2.5,,134
Delhi,"Commonwealth Sports Complex, Delhi - DPCC",2018,PM2.5,,116
Delhi,"Commonwealth Sports Complex, Delhi - DPCC",2019,PM2.5,,109
Delhi,"Commonwealth Sports Complex, Delhi - DPCC",2020,PM2.5,,97
Delhi,"Commonwealth Sports Complex, Delhi - DPCC",2021,PM2.5,,107
Delhi,"Commonwealth Sports Complex, Delhi - DPCC",2022,PM2.5,,99
Delhi,"Commonwealth Sports Complex, Delhi - DPCC",2023,PM2.5,,101
Delhi,"Commonwealth Sports Complex, Delhi - DPCC",2024,PM2.5,,105
Delhi,"Commonwealth Sports Complex, Delhi - DPCC",2025,PM2.5,,102
Delhi,"Commonwealth Sports Complex, Delhi - DPCC",2026,PM2.5,75.0,100
Delhi,"DTU, Delhi - CPCB",2015,PM2.5,68.0,135
Delhi,"DTU, Delhi - CPCB",2016,PM2.5,331.0,166
Delhi,"DTU, Delhi - CPCB",2017,PM2.5,144.0,134
Delhi,"DTU, Delhi - CPCB",2018,PM2.5,129.0,116
Delhi,"DTU, Delhi - CPCB",2019,PM2.5,119.0,109
Delhi,"DTU, Delhi - CPCB",2020,PM2.5,111.0,97
Delhi,"DTU, Delhi - CPCB",2021,PM2.5,120.0,107
Delhi,"DTU, Delhi - CPCB",2022,PM2.5,96.0,99
Delhi,"DTU, Delhi - CPCB",2023,PM2.5,73.0,101
Delhi,"DTU, Delhi - CPCB",2024,PM2.5,77.0,105
Delhi,"DTU, Delhi - CPCB",2025,PM2.5,76.0,102
Delhi,"DTU, Delhi - CPCB",2026,PM2.5,106.0,100
Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",2015,PM2.5,,135
Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",2016,PM2.5,,166
Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",2017,PM2.5,,134
Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",2018,PM2.5,73.0,116
Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",2019,PM2.5,98.0,109
Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",2020,PM2.5,77.0,97
Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",2021,PM2.5,95.0,107
Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",2022,PM2.5,89.0,99
Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",2023,PM2.5,97.0,101
Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",2024,PM2.5,102.0,105
Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",2025,PM2.5,92.0,102
